|job_href|job_title|employer|city|salary|schedule|conditions|responsibilities|education|experience|requirements|placement|job_views_value|job_simple_dis_sec
0|https://joblab.ru/vac4762175.html|Программист КИПиА|"ООО ""ГИДРОЗО"""|Краснозаводск|По договоренности|Полный рабочий день|Оформление по ТК, Условия заработной платы обговариваются на собеседовании, Место работы может быть г Москва или МО г Краснозаводск.|Работать с сложным оборудованием ., Программировать.|Высшее|От 5 лет|"Знать и Уметь , Программирование PLC ПЛК ""с нуля"" на контроллерах ведущих производителей: Siemens, ABB, Omron, Allen Bradley (Rockwell Automation), Beckhoff, Schneider, Разработка SCADA-систем (Siemens, ABB, SE, National Instruments), создание интерфейса HMI, конфигурация баз данных SQL, Конфигурирование промышленных протоколов и сетей (Profibus, Industrial Ethernet, CANopen, Modbus. IEC61850), программирование контроллеров PLC (LONIX, LonArena, протокол LON (технология LonWorks), Johnson Controls DX, CAREL , PIXEL Segnetics, ОВЕН (протокол ModBus), Контар МЗТА, Трансформер, RealLab., программирование SCADA-систем (диспетчеризация), разработка проектов (GENESIS32 V8, V9, MasterSCADA, TRACE MODE 6, COBA, Metasys), систем управления зданием (BMS), проектирование и сборка щитов автоматики, знание электрических схем, поиск и устранение неисправностей,, подключение и наладка частотных преобразователей,, обслуживание и наладка систем автоматического пожаротушения (Спрут),, наладка систем АСКУЭ (Автоматизированная система контроля и учета энергоресурсов) ПО Энфорс Энергия,, обслуживание узлов учета тепловой энергии, снятие протоколов, программирование электросчетчиков Меркурий 230 (Инкотекс), системы диспетчеризации лифтового оборудования (Обь)., IV группа по электробезопасности,, знание компьютера на уровне системного администратора, резервирование и восстановление данных, ограничение доступа рабочего персонала к ПО, локальные сети, лицензирование), работа с оборудованием Grundfos, WILO, Danfoss, Johnson Controls, Echelon, MOXA, Тритон, чиллерами YORK, Carrier, сухими охладителями Guentner., дополнительно знание программ: AutoCAD, ArchiCAD, Acronis, VMware Workstation, MS Office и др."|18.10.2023 09:44:00|2595|
1|https://joblab.ru/vac5745082.html|Инженер-электроник|"ГКУ МО ""Спеццентр ""Звенигород"""|Звенигород|30 000 — 38 000 руб.|Полный рабочий день||Эксплуатация и техническое обслуживание аппаратуры связи|Высшее|От 1 года|Высшее профессиональной техническое образование|18.10.2023 09:43:00|1818|
2|https://joblab.ru/vac9711429.html|Инженер-электроник|"ГКУ МО ""Спеццентр ""Звенигород"""|Звенигород|30 000 — 38 000 руб.|Полный рабочий день|Полный соц.пакет. Дополнительный отпуск за стаж работы, дополнительные гарантии в соответствии с Коллективным договором|Обеспечение бесперебойной работы вычислительной техники, текущий ремонт вычислительной техники, ее модернизация, установка необходимого программного обеспечения.|Высшее|Не требуется|Высшее профессиональное (техническое) образование, экспертное владение оргтехникой.|18.10.2023 09:42:00|288|
3|https://joblab.ru/vac10740062.html|Старший техник по связи|"ГКУ МО ""Спеццентр ""Звенигород"""|Звенигород|30 000 — 35 000 руб.|Полный рабочий день|Полный соц.пакет, дополнительный отпуск за общий стаж работы, гарантии по кол.договору|Контролировать исходное положение и установленный режим работы оборудования, средств связи, поддерживать их в исправном состоянии и готовности к применению., Принимать участие в устранении неисправностей средств связи, выявленных в результате проведения их технических проверок.|Среднее специальное|От 1 года|Среднее профессиональное (техническое) образование , стаж работы не менее одного года|18.10.2023 09:42:00|66|
4|https://joblab.ru/vac1381456.html|Контент-менеджер|"ООО ""ЭЛЕКТРОНПРИБОР"""|Фрязино|45 000 — 55 000 руб.|Полный рабочий день|Работа в офисе 5/2 (удаленная работа не рассматривается). Оформление по ТК, отпуск 28 рабочих дней, комфортные условия в новом офисе, бесплатные обеды. Предприятие включено в реестр ОПК. Уровень заработной платы на испытательный срок - по результатам собеседования, в зависимости от наличия реальных практических навыков и опыта подобной работы.|Добавление контента (товары, новости, баннеры) на сайт компании.|Высшее|От 1 года|Знание HTML. Опыт работы в графических редакторах (редактирование фотографий, создание баннеров). Внимание к деталям, пунктуальность (работа предполагает корректный перенос на сайт больших объемов сложной технической информации). Грамотность, хорошее знание правил русского языка (умение видеть орфографические и пунктуационные ошибки, опечатки в исходном тексте). Хорошая память и логическое мышление.|18.10.2023 09:41:00|852|
5|https://joblab.ru/vac10830139.html|Системный администратор|"ООО СП ""ЛИФТЕК"""|Одинцово|до 50 000 руб.|Полный рабочий день|Официальное трудоустройство., Пятидневная рабочая неделя.|Обслуживание компьютерных сетей и телефонии|Среднее специальное|От 1 года|Желательны навыки Web-программирования, обслуживания облачных СУБД (MySQL, InterBase/FireBird), навыки настройки и обслуживания компьютерных сетей, IP и SIP телефонов, включая АТС класса Panasonic NS500, навыки настройки и обслуживания видеокамер и регистраторов.|18.10.2023 09:40:00|136|
6|https://joblab.ru/vac10975781.html|Системный администратор|"ГК ""ТРИАЛИНК"""|Москва|По договоренности|Полный рабочий день|Интересная работа в динамично развивающейся компании, Достойная, стабильная заработная плата, Заработная плата по результатам собеседования, Официальное трудоустройство в рамках ТК РФ, Дополнительные материальные выплаты, Уютный комфортный офис в шаговой доступности от м. Тульская, Пятидневная рабочая неделя с 09:30-18:00 часов.|Администрирование и поддержка сетевой (Cisco, Eltex) и серверной инфраструктуры (Windows, Linux, VMware ESXi), Создание необходимой инфраструктуры для функционирования сервисов, Оптимизация и развитие IT инфраструктуры, Анализ, оптимизация и выявление рисков текущей инфраструктуры, Миграция на новую инфраструктуру, Обеспечение доступности инфраструктуры и сервисов в режиме 24/7, Обеспечение внутренней и внешней информационной безопасности, Составление и поддержание в актуальном состоянии технической документации, Администрирование почтовой системы, Администрирование и настройка средств архивации и резервного копирования.|Высшее|От 3 лет|Опыт работы в качестве администратора от 3 лет, Уверенное знание и опыт работы с сетевым оборудованием Cisco, опыт построения VPN-сетей (IPSec, L2TP, OpenVPN), Уверенное знание и опыт работы с системами виртуализации VMware ESXi, контейнерами Docker, Уверенное знание и опыт работы с Linux и Windows системами, как серверными, так и клиентскими. Хорошее понимание устройства операционных систем (администрирование, ресурсы, права, процессы и др.), Опыт настройки и обслуживания ПК, опыт подготовки рабочих мест и работа с офисной техникой, Опыт в администрировании средств архивации и резервного копирования, Опыт развертывания систем мониторинга (PRTG, Zabbix) для контроля работоспособности оборудования и сервисов.|18.10.2023 09:35:00|78|
7|https://joblab.ru/vac10975810.html|Программист C++ Qt Back End|"ГК ""ТРИАЛИНК"""|Москва|от 100 000 руб.|Полный рабочий день|Уютный и комфортный офис в шаговой доступности от м. Тульская, Человеческое общение в коллективе без лишних официальностей, Участие в интересных проектах: ты сможешь проявить себя в решении разнообразных задач, Участие в образовательных программах, Высокий уровень заработной платы, зависящий от квалификации соискателя, Дополнительные материальные выплаты, Возможность карьерного роста|Разработка приложений под Linux, Разработка и отладка сетевых приложений, Доработка существующего кода, Участие в тестировании всего разработанного продукта.|Высшее|От 3 лет|Высшее техническое образование, Знание и опыт программирования на языках C/C++/Qt, Знание архитектуры операционных систем семейства Linux, Знание алгоритмов и структур данных, Опыт разработки встроенного программного обеспечения, Опыт разработки системных приложений и библиотек под Linux, Опыт разработки Real Time TCP/IP приложений, Опыт работы с унаследованным кодом, умение разобраться в чужом коде, умение работать в команде, Умение общаться с людьми, четко излагать мысли в устном и письменном виде, Умение быстро переключаться между разными задачами, Навык документирования процесса разработки., Будет плюсом:, Опыт разработки протоколов обмена данными, Использование шаблонов проектирования.|18.10.2023 09:35:00|104|
8|https://joblab.ru/vac11071076.html|Программист TR069|"ГК ""ТРИАЛИНК"""|Москва|По договоренности|Удаленная работа|Интересная работа в динамично развивающейся компании., Уютный и комфортный офис в шаговой доступности от м. Тульская., Участие в интересных проектах: ты сможешь проявить себя в решении разнообразных задач., Официальное трудоустройство в рамках ТК РФ., Своевременная выплата заработной платы 2 раза в месяц., Высокий уровень заработной платы, зависящий от квалификации соискателя по результатам собеседования., График работы: 5/2, Дружный коллектив.|Удаленное управление оборудованием с помощью TR-069., Разворачивать и настраивать asc сервер., Настройка оборудования посредством TR-069., Написание модуля работы.|Высшее|От 3 лет|Высшее техническое образование, Опыт работы с asc сервером., Опыт работы с TR-069.|18.10.2023 09:35:00|243|
9|https://joblab.ru/vac11118378.html|Администратор 1С|"ГК ""ТРИАЛИНК"""|Москва|от 100 000 руб.|Полный рабочий день|Интересная работа в динамично развивающейся компании, Достойная, стабильная заработная плата, Официальное трудоустройство в рамках ТК РФ, Уютный комфортный офис в шаговой доступности от м. Тульская, Пятидневная рабочая неделя с 09:30-18:00 часов, Возможность карьерного роста.|Внедрение, поддержка системы 1С КА (Комплексная автоматизация) в составе команды, Создание механизмов интеграции с другими программами (БП 8.3, ЗУП 8.3, КА), Администрирование системы/настройка прав пользователя, Написание технической документации.|Высшее|От 3 лет|Высшее техническое образование, Опыт работы программистом 1С от 3-х лет, Знание языка программирования 1С, Хорошее знание одной или нескольких типовых конфигураций 1С (БП, ЗУП, КА), Коммуникативные навыки, внимательность и аккуратность, Стрессоустойчивость, дисциплинированность.|18.10.2023 09:35:00|70|
